IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP1;IP_PROP2;IP_PROP10;IP_PROP32;IP_PROP26;IP_PROP41;IP_PROP29;IP_PROP40;IP_PROP33;IP_PROP39;IP_PROP35;IP_PROP25;IP_PROP46;IP_PROP38;IP_PROP31;IP_PROP36;IP_PROP30;IP_PROP23;IP_PROP21;IP_PROP22;IP_PROP24;IC_GROUP0;IC_GROUP1;IC_GROUP2
1;Маска для гладкости и шелковистости для домашнего ухода Mask S (Silky);1;Y;09.10.2018 21:48;;/tovary/150400290-01.jpg;Маска для гладкости и шелковистости для домашнего ухода Mask S (Silky);text;/tovary/150400290-01.jpg;Маска для гладкости и шелковистости для домашнего ухода Mask S (Silky);;Maska dlya gladkosti i shelkovistosti dlya domashnego uhoda Mask S (Silky);;;150400290-01;800;;DEMI;;;;;;;;;50;;;;;;;;;Для волос;Гладкость;
2;Маска увлажняющая для домашнего ухода Mask A (Aqua);2;Y;09.10.2018 21:48;;/tovary/150400291-01.jpg;Маска увлажняющая для домашнего ухода Mask A (Aqua);text;/tovary/150400291-01.jpg;Маска увлажняющая для домашнего ухода Mask A (Aqua);;Maska uvlazhnyayushchaya dlya domashnego uhoda Mask A (Aqua);;;150400291-01;800;;DEMI;;;;;;;;;50;;;;;;;;;Для волос;Увлажнение;
3;Маска уплотняющая для домашнего ухода Mask G (Guard);3;Y;09.10.2018 21:48;;/tovary/150400292-01.jpg;Маска уплотняющая для домашнего ухода Mask G (Guard);text;/tovary/150400292-01.jpg;Маска уплотняющая для домашнего ухода Mask G (Guard);;Maska uplotnyayushchaya dlya domashnego uhoda Mask G (Guard);;;150400292-01;800;;DEMI;;;;;;;;;50;;;;;;;;;Для волос;Плотность;
4;Шампунь - восстановление липидов и влаги CMC Repair Shampoo ;4;Y;09.10.2018 21:48;;/tovary/150301175-01.jpg;Шампунь - восстановление липидов и влаги CMC Repair Shampoo ;text;/tovary/150301175-01.jpg;Шампунь - восстановление липидов и влаги CMC Repair Shampoo ;;SHampun - vosstanovlenie lipidov i vlagi CMC Repair Shampoo ;;;150301175-01;1250;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;Восстановление;
5;Тритмент - восстановление липидов и влаги CMC Repair Treatment;5;Y;09.10.2018 21:48;;/tovary/150400274-01.jpg;Тритмент - восстановление липидов и влаги CMC Repair Treatment;text;/tovary/150400274-01.jpg;Тритмент - восстановление липидов и влаги CMC Repair Treatment;;Tritment - vosstanovlenie lipidov i vlagi CMC Repair Treatment;;;150400274-01;1750;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;Восстановление;
6;Маска - глубокое восстановление липидов и влаги CMC Repair Treatment DEEP;6;Y;09.10.2018 21:48;;/tovary/150400277-01.jpg;Маска - глубокое восстановление липидов и влаги CMC Repair Treatment DEEP;text;/tovary/150400277-01.jpg;Маска - глубокое восстановление липидов и влаги CMC Repair Treatment DEEP;;Maska - glubokoe vosstanovlenie lipidov i vlagi CMC Repair Treatment DEEP;;;150400277-01;1750;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;Восстановление;
7;Шампунь - восстановление кератина CX Repair Shampoo ;7;Y;09.10.2018 21:48;;/tovary/150301176-01.jpg;Шампунь - восстановление кератина CX Repair Shampoo ;text;/tovary/150301176-01.jpg;Шампунь - восстановление кератина CX Repair Shampoo ;;SHampun - vosstanovlenie keratina CX Repair Shampoo ;;;150301176-01;1250;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;Восстановление;
8;Тритмент - восстановление кератина CX Repair Treatment;8;Y;09.10.2018 21:48;;/tovary/150400280-01.jpg;Тритмент - восстановление кератина CX Repair Treatment;text;/tovary/150400280-01.jpg;Тритмент - восстановление кератина CX Repair Treatment;;Tritment - vosstanovlenie keratina CX Repair Treatment;;;150400280-01;1750;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;Восстановление;
9;Маска - глубокое восстановление кератина CX Repair Treatment DEEP;9;Y;09.10.2018 21:48;;/tovary/150400283-01.jpg;Маска - глубокое восстановление кератина CX Repair Treatment DEEP;text;/tovary/150400283-01.jpg;Маска - глубокое восстановление кератина CX Repair Treatment DEEP;;Maska - glubokoe vosstanovlenie keratina CX Repair Treatment DEEP;;;150400283-01;1750;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;Восстановление;
10;Шампунь для придания гладкости волосам Shampoo Smooth;10;Y;09.10.2018 21:48;;/tovary/150300983-01.jpg;Шампунь для придания гладкости волосам Shampoo Smooth;text;/tovary/150300983-01.jpg;Шампунь для придания гладкости волосам Shampoo Smooth;;SHampun dlya pridaniya gladkosti volosam Shampoo Smooth;;;150300983-01;1100;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;Гладкость;
