IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP1;IP_PROP2;IP_PROP10;IP_PROP32;IP_PROP26;IP_PROP41;IP_PROP29;IP_PROP40;IP_PROP33;IP_PROP39;IP_PROP35;IP_PROP25;IP_PROP46;IP_PROP38;IP_PROP31;IP_PROP36;IP_PROP30;IP_PROP23;IP_PROP21;IP_PROP22;IP_PROP24;IC_GROUP0;IC_GROUP1;IC_GROUP2;
1;Маска для гладкости и шелковистости для домашнего ухода Mask S (Silky);1;Y;09.10.2018 21:48:00;;;Маска для гладкости и шелковистости для домашнего ухода Mask S (Silky);text;;Маска для гладкости и шелковистости для домашнего ухода Mask S (Silky);;Maska_dlja_gladkosti_i_shelkovistosti_dlja_domashnego_uhoda_Mask_S_Silky;;;150400290-01;800;;DEMI;;;;;;;;;50;;;;;;;;;Для волос;;
2;Маска увлажняющая для домашнего ухода Mask A (Aqua);2;Y;09.10.2018 21:48:00;;;Маска увлажняющая для домашнего ухода Mask A (Aqua);text;;Маска увлажняющая для домашнего ухода Mask A (Aqua);;Maska_uvlazhnjajushhaja_dlja_domashnego_uhoda_Mask_A_Aqua;;;150400291-01;800;;DEMI;;;;;;;;;50;;;;;;;;;Для волос;;
3;Маска уплотняющая для домашнего ухода Mask G (Guard);3;Y;09.10.2018 21:48:00;;;Маска уплотняющая для домашнего ухода Mask G (Guard);text;;Маска уплотняющая для домашнего ухода Mask G (Guard);;Maska_uplotnjajushhaja_dlja_domashnego_uhoda_Mask_G_Guard;;;150400292-01;800;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
4;Шампунь - восстановление липидов и влаги CMC Repair Shampoo;4;Y;09.10.2018 21:48:00;;;Шампунь - восстановление липидов и влаги CMC Repair Shampoo;text;;Шампунь - восстановление липидов и влаги CMC Repair Shampoo;;Shampun_-_vosstanovlenie_lipidov_i_vlagi_CMC_Repair_Shampoo_;;;150301175-01;1250;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
5;Тритмент - восстановление липидов и влаги CMC Repair Treatment;5;Y;09.10.2018 21:48:00;;;Тритмент - восстановление липидов и влаги CMC Repair Treatment;text;;Тритмент - восстановление липидов и влаги CMC Repair Treatment;;Tritment_-_vosstanovlenie_lipidov_i_vlagi_CMC_Repair_Treatment;;;150400274-01;1750;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
6;Маска - глубокое восстановление липидов и влаги CMC Repair Treatment DEEP;6;Y;09.10.2018 21:48:00;;;Маска - глубокое восстановление липидов и влаги CMC Repair Treatment DEEP;text;;Маска - глубокое восстановление липидов и влаги CMC Repair Treatment DEEP;;Maska_-_glubokoe_vosstanovlenie_lipidov_i_vlagi_CMC_Repair_Treatment_DEEP;;;150400277-01;1750;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
7;Шампунь - восстановление кератина CX Repair Shampoo;7;Y;09.10.2018 21:48:00;;;Шампунь - восстановление кератина CX Repair Shampoo;text;;Шампунь - восстановление кератина CX Repair Shampoo;;Shampun_-_vosstanovlenie_keratina_CX_Repair_Shampoo_;;;150301176-01;1250;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
8;Тритмент - восстановление кератина CX Repair Treatment;8;Y;09.10.2018 21:48:00;;;Тритмент - восстановление кератина CX Repair Treatment;text;;Тритмент - восстановление кератина CX Repair Treatment;;Tritment_-_vosstanovlenie_keratina_CX_Repair_Treatment;;;150400280-01;1750;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
9;Маска - глубокое восстановление кератина CX Repair Treatment DEEP;9;Y;09.10.2018 21:48:00;;;Маска - глубокое восстановление кератина CX Repair Treatment DEEP;text;;Маска - глубокое восстановление кератина CX Repair Treatment DEEP;;Maska_-_glubokoe_vosstanovlenie_keratina_CX_Repair_Treatment_DEEP;;;150400283-01;1750;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
10;Шампунь для придания гладкости волосам Shampoo Smooth;10;Y;09.10.2018 21:48:00;;;Шампунь для придания гладкости волосам Shampoo Smooth;text;;Шампунь для придания гладкости волосам Shampoo Smooth;;Shampun_dlja_pridanija_gladkosti_volosam_Shampoo_Smooth;;;150300983-01;1100;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
