IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP1;IP_PROP2;IP_PROP10;IP_PROP32;IP_PROP26;IP_PROP41;IP_PROP29;IP_PROP40;IP_PROP33;IP_PROP39;IP_PROP35;IP_PROP25;IP_PROP46;IP_PROP38;IP_PROP31;IP_PROP36;IP_PROP30;IP_PROP23;IP_PROP21;IP_PROP22;IP_PROP24;IC_GROUP0;IC_GROUP1;IC_GROUP2
706;DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги 2000мл;706;N;07.08.2018 06:48:17;;/upload/iblock/686/6861d9b323738dfb6004e5ff46efc95e.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги для окрашенных волос. Мягко очищает волосы и кожу головы, пролонгирует окрашивание, увлажняет волосы и кожу голов;text;/upload/iblock/79f/79f39865d05abd44128ac0cdaf975e8b.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги для окрашенных волос. Мягко очищает волосы и кожу головы, пролонгирует окрашивание, увлажняет волосы и кожу головы.Состав: глутаминовую кислоту, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 2000мл    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_SHAMPOO_-_Shampunj_Vosstanovlenie_lipidov_i_vlagi_2000ml;500;;ZWCJV-706;5290;;DEMI;;2000мл;;Объём: 2000мл;100;;;;;;;;;;;;;Для волос;;
727;DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги 250мл;707;N;07.08.2018 06:48:50;;/upload/iblock/f7c/f7c8e36fd8456680c908ac460f8062f2.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги для окрашенных волос. Мягко очищает волосы и кожу головы, пролонгирует окрашивание, увлажняет волосы и кожу голов;text;/upload/iblock/8a2/8a24674424304f175b1de18cd50d5515.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги для окрашенных волос. Мягко очищает волосы и кожу головы, пролонгирует окрашивание, увлажняет волосы и кожу головы.Состав: глутаминовую кислоту, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 250мл    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_SHAMPOO_-_Shampunj_Vosstanovlenie_lipidov_i_vlagi_250ml;500;;EIFUA-727;1590;;DEMI;;250мл;;Объём: 250мл;100;;;;;;;;;;;;;Для волос;;
728;DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги 450мл;708;N;07.08.2018 06:48:52;;/upload/iblock/be9/be9ed1ce17d0385fa08a84bf24017ff3.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги для окрашенных волос. Мягко очищает волосы и кожу головы, пролонгирует окрашивание, увлажняет волосы и кожу голов;text;/upload/iblock/8ec/8ec4424a5023b045c8df8c0b432da15f.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги для окрашенных волос. Мягко очищает волосы и кожу головы, пролонгирует окрашивание, увлажняет волосы и кожу головы.Состав: глутаминовую кислоту, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 450мл    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_SHAMPOO_-_Shampunj_Vosstanovlenie_lipidov_i_vlagi_450ml;500;;QEIOB-728;1890;;DEMI;;450мл;;Объём: 450мл;100;;;;;;;;;;;;;Для волос;;
729;DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги 550мл;709;N;07.08.2018 06:48:53;;/upload/iblock/6ad/6adb99176679358b142234d7bcac3845.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги для окрашенных волос. Мягко очищает волосы и кожу головы, пролонгирует окрашивание, увлажняет волосы и кожу голов;text;/upload/iblock/018/0182bce1a664a7fce8aa339a75fd820f.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR SHAMPOO - Шампунь Восстановление липидов и влаги для окрашенных волос. Мягко очищает волосы и кожу головы, пролонгирует окрашивание, увлажняет волосы и кожу головы.Состав: глутаминовую кислоту, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 550мл    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_SHAMPOO_-_Shampunj_Vosstanovlenie_lipidov_i_vlagi_550ml;500;;OQNGF-729;2700;;DEMI;;550мл;;Объём: 550мл;100;;;;;;;;;;;;;Для волос;;
730;DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги 2000гр;710;N;07.08.2018 06:48:55;;/upload/iblock/64d/64def138eef7fa17162e159c0ed69e72.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги для ухода за окрашенными волосами, пролонгирует результат окрашивания. Закрывает кутикулу, придает волосам бле;text;/upload/iblock/3b3/3b38934596ab043a399f8367c52cf0c1.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги для ухода за окрашенными волосами, пролонгирует результат окрашивания. Закрывает кутикулу, придает волосам блеск и гладкость, увлажняет волосы.Состав: глутаминовую и гиалуроновую кислоту, керамиды, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 2000гр    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_TREATMENT_-_Sredstvo_Vosstanovlenie_lipidov_i_vlagi_2000gr;500;;CFYET-730;7020;;DEMI;;2000гр;;Объём: 2000гр;100;;;;;;;;;;;;;Для волос;;
731;DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги 240гр;711;N;07.08.2018 06:48:57;;/upload/iblock/5d8/5d803e29aad6db426fdc89cfe61ab371.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги для ухода за окрашенными волосами, пролонгирует результат окрашивания. Закрывает кутикулу, придает волосам бле;text;/upload/iblock/14f/14f65582d17ba32e1ed66ea50c09d53a.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги для ухода за окрашенными волосами, пролонгирует результат окрашивания. Закрывает кутикулу, придает волосам блеск и гладкость, увлажняет волосы.Состав: глутаминовую и гиалуроновую кислоту, керамиды, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 240гр    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_TREATMENT_-_Sredstvo_Vosstanovlenie_lipidov_i_vlagi_240gr;500;;TQLXJ-731;2270;;DEMI;;240гр;;Объём: 240гр;100;;;;;;;;;;;;;Для волос;;
732;DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги 450гр;712;N;07.08.2018 06:48:58;;/upload/iblock/2ef/2ef377a3278697b34d1c1e73b2d2c821.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги для ухода за окрашенными волосами, пролонгирует результат окрашивания. Закрывает кутикулу, придает волосам бле;text;/upload/iblock/c43/c432251f786ee6f05daea11d775c2853.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги для ухода за окрашенными волосами, пролонгирует результат окрашивания. Закрывает кутикулу, придает волосам блеск и гладкость, увлажняет волосы.Состав: глутаминовую и гиалуроновую кислоту, керамиды, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 450гр    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_TREATMENT_-_Sredstvo_Vosstanovlenie_lipidov_i_vlagi_450gr;500;;EUQKM-732;2700;;DEMI;;450гр;;Объём: 450гр;100;;;;;;;;;;;;;Для волос;;
733;DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги 550гр;713;N;07.08.2018 06:49:00;;/upload/iblock/e14/e14571c9a3fbdad337df2b35e1192d88.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги для ухода за окрашенными волосами, пролонгирует результат окрашивания. Закрывает кутикулу, придает волосам бле;text;/upload/iblock/fec/fecc38424c24ee204c4dd9455db9e697.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT - Средство Восстановление липидов и влаги для ухода за окрашенными волосами, пролонгирует результат окрашивания. Закрывает кутикулу, придает волосам блеск и гладкость, увлажняет волосы.Состав: глутаминовую и гиалуроновую кислоту, керамиды, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 550гр    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_TREATMENT_-_Sredstvo_Vosstanovlenie_lipidov_i_vlagi_550gr;500;;QJCMU-733;3860;;DEMI;;550гр;;Объём: 550гр;100;;;;;;;;;;;;;Для волос;;
734;DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT DEEP - Маска Глубокое восстановление липидов и влаги 2000гр;714;N;07.08.2018 06:49:01;;/upload/iblock/d3f/d3f795b6eacbe32a5ec22878c89d372b.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT DEEP - Маска Глубокое восстановление липидов и влаги обеспечивает полноценный уход за окрашенными волосами. Активные  компоненты способствуют восстановл;text;/upload/iblock/03d/03dca5797f3b1b7f753989186317ddbc.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT DEEP - Маска Глубокое восстановление липидов и влаги обеспечивает полноценный уход за окрашенными волосами. Активные  компоненты способствуют восстановлению гидролипидного баланса структуры волос на молекулярном уровне. Обладает укрепляющим и питательным действием. Способствует сохранению яркости цвета после окрашивания. Придает волосам сияющий блеск, гибкость, податливость укладке.Состав: глутаминовую и гиалуроновую кислоту, керамиды, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 2000гр    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_TREATMENT_DEEP_-_Maska_Glubokoe_vosstanovlenie_lipidov_i_vlagi_2000gr;500;;DVMAC-734;7020;;DEMI;;2000гр;;Объём: 2000гр;100;;;;;;;;;;;;;Для волос;;
735;DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT DEEP - Маска Глубокое восстановление липидов и влаги 240гр;715;N;07.08.2018 06:49:03;;/upload/iblock/a86/a86b3dc60eb683eb4fda232dce07d39e.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT DEEP - Маска Глубокое восстановление липидов и влаги обеспечивает полноценный уход за окрашенными волосами. Активные  компоненты способствуют восстановл;text;/upload/iblock/4d2/4d26d15655f3e22525a1295c774b58d1.jpg;  DEMI COMPOSIO HOME CARE CMC REPAIR TREATMENT DEEP - Маска Глубокое восстановление липидов и влаги обеспечивает полноценный уход за окрашенными волосами. Активные  компоненты способствуют восстановлению гидролипидного баланса структуры волос на молекулярном уровне. Обладает укрепляющим и питательным действием. Способствует сохранению яркости цвета после окрашивания. Придает волосам сияющий блеск, гибкость, податливость укладке.Состав: глутаминовую и гиалуроновую кислоту, керамиды, гидролизованный коллаген, мембранную оболочку яичной скорлупы.Объём: 240гр    ;html;DEMI_COMPOSIO_HOME_CARE_CMC_REPAIR_TREATMENT_DEEP_-_Maska_Glubokoe_vosstanovlenie_lipidov_i_vlagi_240gr;500;;YDMRX-735;2270;;DEMI;;240гр;;Объём: 240гр;100;;;;;;;;;;;;;Для волос;;
